Dt,Close
2017-12-27,267.32
2017-12-28,267.87
2017-12-29,266.86
2018-01-02,268.77
2018-01-03,270.47
2018-01-04,271.61
2018-01-05,273.42
2018-01-08,273.92
2018-01-09,274.54
2018-01-10,274.12
2018-01-11,276.12
2018-01-12,277.92
2018-01-16,276.97
2018-01-17,279.61
2018-01-18,279.14
2018-01-19,280.41
2018-01-22,282.69
2018-01-23,283.29
2018-01-24,283.18
2018-01-25,283.3
2018-01-26,286.58
2018-01-29,284.68
2018-01-30,281.76
2018-01-31,281.9
2018-02-01,281.58
2018-02-02,275.45
2018-02-05,263.93
2018-02-06,269.13
2018-02-07,267.67
2018-02-08,257.63
2018-02-09,261.5
2018-02-12,265.34
2018-02-13,266.0
2018-02-14,269.59
2018-02-15,273.03
2018-02-16,273.11
2018-02-20,271.4
2018-02-21,270.05
2018-02-22,270.4
2018-02-23,274.71
2018-02-26,277.9
2018-02-27,274.43
2018-02-28,271.65
2018-03-01,267.7
2018-03-02,269.08
2018-03-05,272.19
2018-03-06,272.88
2018-03-07,272.78
2018-03-08,274.1
2018-03-09,278.87
2018-03-12,278.52
2018-03-13,276.72
2018-03-14,275.3
2018-03-15,275.0
2018-03-16,274.2
2018-03-19,270.49
2018-03-20,270.95
2018-03-21,270.43
2018-03-22,263.67
2018-03-23,258.05
2018-03-26,265.11
2018-03-27,260.6
2018-03-28,259.83
2018-03-29,263.15
2018-04-02,257.47
2018-04-03,260.77
2018-04-04,263.56
2018-04-05,265.64
2018-04-06,259.72
2018-04-09,261.0
2018-04-10,265.15
2018-04-11,263.76
2018-04-12,265.93
2018-04-13,265.15
2018-04-16,267.33
2018-04-17,270.19
2018-04-18,270.39
2018-04-19,268.89
2018-04-20,266.61
2018-04-23,266.57
2018-04-24,262.98
2018-04-25,263.63
2018-04-26,266.31
2018-04-27,266.56
2018-04-30,264.51
2018-05-01,264.98
2018-05-02,263.2
2018-05-03,262.62
2018-05-04,266.02
2018-05-07,266.92
2018-05-08,266.92
