Dt,Close
2017-12-27,60.37
2017-12-28,60.64
2017-12-29,60.53
2018-01-02,61.39
2018-01-03,61.82
2018-01-04,62.36
2018-01-05,62.86
2018-01-08,62.95
2018-01-09,62.85
2018-01-10,62.47
2018-01-11,63.29
2018-01-12,63.39
2018-01-16,62.65
2018-01-17,62.94
2018-01-18,62.9
2018-01-19,63.28
2018-01-22,63.13
2018-01-23,63.12
2018-01-24,63.39
2018-01-25,63.81
2018-01-26,64.09
2018-01-29,63.36
2018-01-30,62.9
2018-01-31,62.95
2018-02-01,62.09
2018-02-02,60.46
2018-02-05,58.15
2018-02-06,60.05
2018-02-07,59.51
2018-02-08,57.42
2018-02-09,58.42
2018-02-12,59.6
2018-02-13,59.45
2018-02-14,60.25
2018-02-15,60.7
2018-02-16,60.48
2018-02-20,60.21
2018-02-21,60.0
2018-02-22,60.4
2018-02-23,61.29
2018-02-26,61.56
2018-02-27,60.71
2018-02-28,59.63
2018-03-01,59.02
2018-03-02,58.96
2018-03-05,59.74
2018-03-06,60.4
2018-03-07,60.18
2018-03-08,60.23
2018-03-09,61.32
2018-03-12,61.17
2018-03-13,60.92
2018-03-14,60.17
2018-03-15,59.38
2018-03-16,59.15
2018-03-19,58.3
2018-03-20,58.24
2018-03-21,58.9
2018-03-22,57.14
2018-03-23,56.02
2018-03-26,57.17
2018-03-27,56.59
2018-03-28,55.87
2018-03-29,56.94
2018-04-02,55.7
2018-04-03,56.49
2018-04-04,56.86
2018-04-05,57.92
2018-04-06,56.51
2018-04-09,56.82
2018-04-10,57.99
2018-04-11,57.56
2018-04-12,58.17
2018-04-13,58.11
2018-04-16,58.89
2018-04-17,59.56
2018-04-18,59.99
2018-04-19,59.32
2018-04-20,59.0
2018-04-23,58.83
2018-04-24,57.24
2018-04-25,57.55
2018-04-26,57.91
2018-04-27,57.76
2018-04-30,57.01
2018-05-01,56.96
2018-05-02,56.83
2018-05-03,57.09
2018-05-04,57.8
2018-05-07,57.78
2018-05-08,57.66
2018-05-09,58.49
2018-05-10,58.91
2018-05-11,58.89
2018-05-14,59.12
2018-05-15,58.94
2018-05-16,59.64
2018-05-17,59.78
2018-05-18,59.86
2018-05-21,60.18
2018-05-22,59.68
2018-05-23,59.54
2018-05-24,59.33
2018-05-25,59.01
2018-05-29,57.99
2018-05-30,58.67
2018-05-31,58.18
2018-06-01,59.07
2018-06-04,59.41
2018-06-05,59.86
2018-06-06,60.97
2018-06-07,60.66
2018-06-08,60.83
2018-06-11,60.92
2018-06-12,61.0
2018-06-13,60.34
2018-06-14,60.43
2018-06-15,59.73
2018-06-18,59.58
2018-06-19,58.49
2018-06-20,58.3
2018-06-21,57.68
2018-06-22,58.52
2018-06-25,57.61
2018-06-26,57.83
2018-06-27,57.65
2018-06-28,57.87
