Dt,Close
2017-12-27,72.36
2017-12-28,72.47
2017-12-29,72.26
2018-01-02,73.45
2018-01-03,74.55
2018-01-04,75.0
2018-01-05,74.97
2018-01-08,75.42
2018-01-09,75.23
2018-01-10,75.14
2018-01-11,76.68
2018-01-12,77.42
2018-01-16,76.44
2018-01-17,77.11
2018-01-18,76.48
2018-01-19,76.38
2018-01-22,78.03
2018-01-23,77.91
2018-01-24,77.7
2018-01-25,77.09
2018-01-26,77.51
2018-01-29,76.34
2018-01-30,74.8
2018-01-31,74.85
2018-02-01,75.62
2018-02-02,72.46
2018-02-05,69.42
2018-02-06,69.97
2018-02-07,68.8
2018-02-08,66.72
2018-02-09,66.67
2018-02-12,67.76
2018-02-13,67.48
2018-02-14,68.46
2018-02-15,68.29
2018-02-16,68.12
2018-02-20,67.75
2018-02-21,66.61
2018-02-22,67.34
2018-02-23,68.8
2018-02-26,69.21
2018-02-27,68.31
2018-02-28,66.74
2018-03-01,66.64
2018-03-02,66.95
2018-03-05,67.66
2018-03-06,67.7
2018-03-07,67.19
2018-03-08,67.17
2018-03-09,68.45
2018-03-12,68.43
2018-03-13,67.94
2018-03-14,67.54
2018-03-15,67.19
2018-03-16,67.31
2018-03-19,66.27
2018-03-20,66.83
2018-03-21,68.58
2018-03-22,67.18
2018-03-23,66.77
2018-03-26,67.97
2018-03-27,67.33
2018-03-28,66.02
2018-03-29,67.41
2018-04-02,66.06
2018-04-03,67.47
2018-04-04,67.38
2018-04-05,68.59
2018-04-06,67.35
2018-04-09,67.67
2018-04-10,69.91
2018-04-11,70.64
2018-04-12,70.63
2018-04-13,71.41
2018-04-16,72.14
2018-04-17,72.42
2018-04-18,73.56
2018-04-19,73.65
2018-04-20,73.3
2018-04-23,73.75
2018-04-24,72.96
2018-04-25,73.54
2018-04-26,74.61
2018-04-27,73.82
2018-04-30,73.81
2018-05-01,73.36
2018-05-02,73.66
2018-05-03,73.49
2018-05-04,73.85
2018-05-07,73.95
2018-05-08,74.53
2018-05-09,76.05
2018-05-10,76.62
2018-05-11,76.73
2018-05-14,77.26
2018-05-15,77.28
2018-05-16,77.55
2018-05-17,78.72
2018-05-18,78.11
2018-05-21,78.91
2018-05-22,77.86
2018-05-23,77.85
2018-05-24,76.57
2018-05-25,74.58
2018-05-29,74.35
2018-05-30,76.6
2018-05-31,76.02
2018-06-01,76.38
2018-06-04,75.72
2018-06-05,75.54
2018-06-06,75.9
2018-06-07,77.05
2018-06-08,76.9
2018-06-11,77.3
2018-06-12,76.71
2018-06-13,76.42
2018-06-14,76.31
2018-06-15,74.17
2018-06-18,74.91
2018-06-19,74.74
2018-06-20,75.07
2018-06-21,73.68
2018-06-22,75.15
2018-06-25,73.64
2018-06-26,74.57
2018-06-27,75.57
2018-06-28,75.47
2018-06-29,75.94
2018-07-02,74.82
2018-07-03,75.29
2018-07-05,75.21
2018-07-06,75.67
2018-07-09,76.8
2018-07-10,77.37
2018-07-11,75.73
2018-07-12,75.86
2018-07-13,76.26
2018-07-16,75.38
2018-07-17,75.08
2018-07-18,75.13
2018-07-19,75.15
2018-07-20,74.89
2018-07-23,74.56
2018-07-24,75.5
2018-07-25,76.13
2018-07-26,76.96
2018-07-27,76.63
2018-07-30,77.26
2018-07-31,77.12
2018-08-01,76.05
2018-08-02,75.63
2018-08-03,75.24
2018-08-06,75.52
2018-08-07,76.08
2018-08-08,75.53
2018-08-09,74.83
2018-08-10,75.29
2018-08-13,74.33
2018-08-14,74.51
2018-08-15,71.91
2018-08-16,72.43
2018-08-17,72.61
2018-08-20,73.1
2018-08-21,73.47
2018-08-22,74.35
2018-08-23,74.0
2018-08-24,74.54
2018-08-27,75.09
2018-08-28,74.77
2018-08-29,75.23
2018-08-30,75.02
2018-08-31,74.44
2018-09-04,74.28
2018-09-05,74.18
2018-09-06,72.81
2018-09-07,72.8
2018-09-10,72.77
2018-09-11,73.46
2018-09-12,73.84
2018-09-13,73.87
2018-09-14,74.26
2018-09-17,74.38
2018-09-18,74.87
2018-09-19,75.1
2018-09-20,75.12
2018-09-21,75.1
2018-09-24,76.2
2018-09-25,76.69
2018-09-26,75.95
2018-09-27,75.95
2018-09-28,75.74
2018-10-01,76.79
2018-10-02,76.87
2018-10-03,77.49
2018-10-04,77.17
2018-10-05,77.16
2018-10-08,77.1
2018-10-09,77.79
2018-10-10,75.35
2018-10-11,72.8
2018-10-12,73.0
2018-10-15,72.39
2018-10-16,72.99
