Dt,Close
2017-12-27,28.0
2017-12-28,28.11
2017-12-29,27.91
2018-01-02,27.92
2018-01-03,28.07
2018-01-04,28.33
2018-01-05,28.41
2018-01-08,28.37
2018-01-09,28.59
2018-01-10,28.83
2018-01-11,28.97
2018-01-12,29.23
2018-01-16,29.15
2018-01-17,29.37
2018-01-18,29.33
2018-01-19,29.54
2018-01-22,29.78
2018-01-23,29.81
2018-01-24,30.01
2018-01-25,29.95
2018-01-26,30.17
2018-01-29,30.05
2018-01-30,29.66
2018-01-31,29.74
2018-02-01,30.02
2018-02-02,29.36
2018-02-05,27.88
2018-02-06,28.39
2018-02-07,28.41
2018-02-08,27.16
2018-02-09,27.68
2018-02-12,28.07
2018-02-13,28.19
2018-02-14,28.86
2018-02-15,29.02
2018-02-16,28.98
2018-02-20,28.89
2018-02-21,28.93
2018-02-22,28.69
2018-02-23,29.12
2018-02-26,29.56
2018-02-27,29.28
2018-02-28,28.87
2018-03-01,28.37
2018-03-02,28.44
2018-03-05,28.84
2018-03-06,28.96
2018-03-07,28.91
2018-03-08,29.0
2018-03-09,29.7
2018-03-12,29.6
2018-03-13,29.27
2018-03-14,28.94
2018-03-15,28.95
2018-03-16,28.87
2018-03-19,28.66
2018-03-20,28.73
2018-03-21,28.72
2018-03-22,27.66
2018-03-23,26.82
2018-03-26,27.69
2018-03-27,27.15
2018-03-28,27.2
2018-03-29,27.57
2018-04-02,26.96
2018-04-03,27.33
2018-04-04,27.62
2018-04-05,27.84
2018-04-06,27.17
2018-04-09,27.32
2018-04-10,27.73
2018-04-11,27.4
2018-04-12,27.88
2018-04-13,27.46
2018-04-16,27.58
2018-04-17,27.58
2018-04-18,27.45
2018-04-19,27.87
2018-04-20,27.88
2018-04-23,27.85
2018-04-24,27.67
2018-04-25,27.65
2018-04-26,27.66
2018-04-27,27.7
2018-04-30,27.45
2018-05-01,27.46
2018-05-02,27.15
2018-05-03,26.92
2018-05-04,27.27
2018-05-07,27.45
2018-05-08,27.64
2018-05-09,28.05
2018-05-10,28.28
2018-05-11,28.26
2018-05-14,28.24
2018-05-15,28.19
2018-05-16,28.24
2018-05-17,28.18
2018-05-18,27.95
2018-05-21,28.15
2018-05-22,28.34
2018-05-23,28.16
2018-05-24,27.94
2018-05-25,27.85
2018-05-29,26.92
2018-05-30,27.41
2018-05-31,27.18
2018-06-01,27.48
2018-06-04,27.57
2018-06-05,27.45
2018-06-06,27.95
2018-06-07,28.04
2018-06-08,28.08
2018-06-11,28.02
2018-06-12,27.95
2018-06-13,27.85
2018-06-14,27.59
2018-06-15,27.47
2018-06-18,27.42
2018-06-19,27.35
2018-06-20,27.28
2018-06-21,27.2
2018-06-22,27.07
2018-06-25,26.78
2018-06-26,26.69
2018-06-27,26.36
2018-06-28,26.59
2018-06-29,26.59
2018-07-02,26.72
2018-07-03,26.48
2018-07-05,26.54
2018-07-06,26.67
2018-07-09,27.28
2018-07-10,27.18
2018-07-11,27.05
2018-07-12,27.1
2018-07-13,26.98
2018-07-16,27.46
2018-07-17,27.49
2018-07-18,27.93
2018-07-19,27.51
2018-07-20,27.56
2018-07-23,27.94
2018-07-24,28.02
2018-07-25,28.08
2018-07-26,28.07
2018-07-27,28.13
2018-07-30,28.15
2018-07-31,27.95
2018-08-01,27.95
2018-08-02,27.96
2018-08-03,28.12
2018-08-06,28.27
2018-08-07,28.4
2018-08-08,28.47
2018-08-09,28.3
2018-08-10,27.97
2018-08-13,27.7
2018-08-14,27.96
2018-08-15,27.74
2018-08-16,28.11
2018-08-17,28.17
2018-08-20,28.26
2018-08-21,28.37
2018-08-22,28.27
2018-08-23,28.14
2018-08-24,28.24
2018-08-27,28.62
2018-08-28,28.59
2018-08-29,28.58
2018-08-30,28.36
2018-08-31,28.33
2018-09-04,28.47
2018-09-05,28.49
2018-09-06,28.36
2018-09-07,28.33
2018-09-10,28.3
2018-09-11,28.33
2018-09-12,28.07
2018-09-13,28.03
2018-09-14,28.23
2018-09-17,28.11
2018-09-18,28.25
2018-09-19,28.73
2018-09-20,28.98
2018-09-21,28.74
2018-09-24,28.42
2018-09-25,28.31
2018-09-26,27.97
2018-09-27,27.87
2018-09-28,27.58
2018-10-01,27.69
2018-10-02,27.69
2018-10-03,27.95
2018-10-04,28.14
2018-10-05,28.0
2018-10-08,28.19
2018-10-09,28.08
2018-10-10,27.21
2018-10-11,26.4
2018-10-12,26.43
2018-10-15,26.31
2018-10-16,26.75
2018-10-17,27.02
2018-10-18,26.57
2018-10-19,26.67
2018-10-22,26.1
2018-10-23,25.89
2018-10-24,25.24
2018-10-25,25.63
2018-10-26,25.26
2018-10-29,25.48
2018-10-30,25.92
2018-10-31,26.28
2018-11-01,26.4
2018-11-02,26.38
2018-11-05,26.8
2018-11-06,26.94
2018-11-07,27.29
2018-11-08,27.37
2018-11-09,27.12
2018-11-12,26.58
2018-11-13,26.73
2018-11-14,26.37
2018-11-15,26.76
2018-11-16,26.79
2018-11-19,26.78
2018-11-20,26.19
2018-11-21,26.21
2018-11-23,26.0
2018-11-26,26.53
2018-11-27,26.55
2018-11-28,27.06
2018-11-29,26.83
2018-11-30,26.97
2018-12-03,27.14
2018-12-04,25.96
2018-12-06,25.6
2018-12-07,25.11
2018-12-10,24.76
2018-12-11,24.52
2018-12-12,24.66
2018-12-13,24.48
2018-12-14,24.24
2018-12-17,24.0
2018-12-18,23.91
2018-12-19,23.61
2018-12-20,23.4
2018-12-21,22.79
2018-12-24,22.31
2018-12-26,23.32
2018-12-27,23.6
2018-12-28,23.59
2018-12-31,23.82
