Dt,Close
2017-12-27,75.66
2017-12-28,75.81
2017-12-29,75.67
2018-01-02,76.12
2018-01-03,76.53
2018-01-04,77.09
2018-01-05,77.62
2018-01-08,77.94
2018-01-09,78.44
2018-01-10,78.43
2018-01-11,79.43
2018-01-12,80.17
2018-01-16,79.45
2018-01-17,79.89
2018-01-18,79.46
2018-01-19,79.69
2018-01-22,79.69
2018-01-23,79.73
2018-01-24,79.66
2018-01-25,79.74
2018-01-26,80.66
2018-01-29,80.12
2018-01-30,79.49
2018-01-31,79.73
2018-02-01,79.59
2018-02-02,77.99
2018-02-05,74.45
2018-02-06,75.81
2018-02-07,75.95
2018-02-08,73.02
2018-02-09,73.81
2018-02-12,75.0
2018-02-13,75.17
2018-02-14,76.12
2018-02-15,77.27
2018-02-16,77.29
2018-02-20,76.51
2018-02-21,76.53
2018-02-22,77.04
2018-02-23,77.68
2018-02-26,78.75
2018-02-27,77.76
2018-02-28,76.65
2018-03-01,75.15
2018-03-02,75.13
2018-03-05,76.03
2018-03-06,76.37
2018-03-07,76.36
2018-03-08,76.76
2018-03-09,78.45
2018-03-12,77.48
2018-03-13,77.1
2018-03-14,76.26
2018-03-15,76.48
2018-03-16,76.58
2018-03-19,75.99
2018-03-20,76.25
2018-03-21,76.34
2018-03-22,73.82
2018-03-23,72.74
2018-03-26,74.5
2018-03-27,73.47
2018-03-28,73.22
2018-03-29,74.29
2018-04-02,72.76
2018-04-03,73.77
2018-04-04,74.09
2018-04-05,74.84
2018-04-06,72.77
2018-04-09,72.55
2018-04-10,73.66
2018-04-11,73.12
2018-04-12,74.17
2018-04-13,73.99
2018-04-16,74.73
2018-04-17,75.36
2018-04-18,76.14
2018-04-19,75.93
2018-04-20,75.6
2018-04-23,75.51
2018-04-24,73.4
2018-04-25,73.61
2018-04-26,73.34
2018-04-27,73.19
2018-04-30,72.22
2018-05-01,71.89
2018-05-02,71.26
2018-05-03,71.43
2018-05-04,72.26
2018-05-07,72.74
2018-05-08,73.26
2018-05-09,74.05
2018-05-10,74.55
2018-05-11,74.71
2018-05-14,74.58
2018-05-15,74.33
2018-05-16,74.6
2018-05-17,74.89
2018-05-18,75.33
2018-05-21,76.47
2018-05-22,75.53
2018-05-23,75.46
2018-05-24,75.83
2018-05-25,75.69
2018-05-29,74.48
2018-05-30,75.53
2018-05-31,74.44
2018-06-01,75.26
2018-06-04,75.15
2018-06-05,75.24
2018-06-06,75.87
2018-06-07,76.19
2018-06-08,76.44
2018-06-11,76.59
2018-06-12,76.51
2018-06-13,75.9
2018-06-14,75.61
2018-06-15,75.12
2018-06-18,74.81
2018-06-19,73.23
2018-06-20,73.28
2018-06-21,72.36
2018-06-22,72.61
2018-06-25,71.69
2018-06-26,71.96
2018-06-27,71.38
2018-06-28,71.48
2018-06-29,71.63
2018-07-02,71.79
2018-07-03,71.56
2018-07-05,71.91
2018-07-06,72.16
2018-07-09,73.5
