Dt,Close
2017-12-27,64.18
2017-12-28,64.29
2017-12-29,63.95
2018-01-02,64.74
2018-01-03,65.28
2018-01-04,65.61
2018-01-05,66.3
2018-01-08,66.55
2018-01-09,66.38
2018-01-10,66.15
2018-01-11,66.42
2018-01-12,66.81
2018-01-16,66.55
2018-01-17,67.55
2018-01-18,67.67
2018-01-19,67.8
2018-01-22,68.46
2018-01-23,68.76
2018-01-24,68.23
2018-01-25,68.11
2018-01-26,69.19
2018-01-29,68.56
2018-01-30,67.94
2018-01-31,68.45
2018-02-01,68.51
2018-02-02,66.48
2018-02-05,63.7
2018-02-06,65.53
2018-02-07,64.69
2018-02-08,62.01
2018-02-09,63.53
2018-02-12,64.67
2018-02-13,64.83
2018-02-14,66.02
2018-02-15,67.28
2018-02-16,67.18
2018-02-20,67.24
2018-02-21,66.81
2018-02-22,66.89
2018-02-23,68.29
2018-02-26,69.36
2018-02-27,68.66
2018-02-28,68.17
2018-03-01,67.04
2018-03-02,67.68
2018-03-05,68.37
2018-03-06,68.52
2018-03-07,68.9
2018-03-08,69.2
2018-03-09,70.51
2018-03-12,70.73
2018-03-13,69.92
2018-03-14,69.86
2018-03-15,69.9
2018-03-16,69.61
2018-03-19,68.23
2018-03-20,68.2
2018-03-21,67.79
2018-03-22,66.04
2018-03-23,64.28
2018-03-26,66.72
2018-03-27,64.58
2018-03-28,64.15
2018-03-29,65.42
2018-04-02,63.86
2018-04-03,64.49
2018-04-04,65.39
2018-04-05,65.66
2018-04-06,64.05
2018-04-09,64.55
2018-04-10,66.14
2018-04-11,65.75
2018-04-12,66.54
2018-04-13,66.32
2018-04-16,66.83
2018-04-17,68.07
2018-04-18,67.89
2018-04-19,67.14
2018-04-20,66.21
2018-04-23,65.97
2018-04-24,64.82
2018-04-25,64.83
2018-04-26,66.01
2018-04-27,65.89
2018-04-30,65.46
2018-05-01,66.28
2018-05-02,66.21
2018-05-03,66.36
2018-05-04,67.62
2018-05-07,68.09
2018-05-08,68.24
2018-05-09,69.08
2018-05-10,69.98
2018-05-11,69.88
2018-05-14,69.87
2018-05-15,69.21
2018-05-16,69.52
2018-05-17,69.16
2018-05-18,68.87
2018-05-21,69.47
2018-05-22,69.37
2018-05-23,69.88
2018-05-24,69.8
2018-05-25,69.75
2018-05-29,69.37
2018-05-30,69.88
2018-05-31,69.9
2018-06-01,71.09
2018-06-04,71.66
2018-06-05,71.91
2018-06-06,72.38
2018-06-07,71.8
2018-06-08,71.68
2018-06-11,71.76
2018-06-12,72.11
2018-06-13,71.74
2018-06-14,72.25
2018-06-15,71.72
2018-06-18,71.8
2018-06-19,71.43
2018-06-20,71.58
2018-06-21,71.03
2018-06-22,70.8
2018-06-25,69.33
2018-06-26,69.61
2018-06-27,68.66
2018-06-28,69.5
2018-06-29,69.47
2018-07-02,70.09
2018-07-03,69.26
2018-07-05,70.24
2018-07-06,71.06
2018-07-09,71.6
2018-07-10,71.77
2018-07-11,71.49
2018-07-12,72.62
2018-07-13,72.54
2018-07-16,72.37
2018-07-17,72.91
2018-07-18,72.79
2018-07-19,72.53
2018-07-20,72.55
2018-07-23,72.92
2018-07-24,73.32
2018-07-25,74.24
2018-07-26,73.1
2018-07-27,71.85
2018-07-30,70.73
2018-07-31,70.92
2018-08-01,71.56
2018-08-02,72.46
2018-08-03,72.72
2018-08-06,73.11
2018-08-07,73.39
2018-08-08,73.59
2018-08-09,73.62
2018-08-10,73.03
2018-08-13,72.93
2018-08-14,73.38
2018-08-15,72.72
2018-08-16,73.04
2018-08-17,73.15
2018-08-20,73.04
2018-08-21,73.16
2018-08-22,73.38
2018-08-23,73.54
2018-08-24,74.28
2018-08-27,74.96
2018-08-28,75.09
2018-08-29,75.77
2018-08-30,75.54
2018-08-31,75.6
2018-09-04,75.31
2018-09-05,74.37
2018-09-06,73.83
2018-09-07,73.58
2018-09-10,73.81
2018-09-11,74.44
2018-09-12,74.13
2018-09-13,75.0
2018-09-14,74.94
2018-09-17,74.0
2018-09-18,74.47
2018-09-19,74.28
2018-09-20,75.16
2018-09-21,74.61
2018-09-24,74.98
2018-09-25,74.89
2018-09-26,74.61
2018-09-27,75.05
2018-09-28,75.33
2018-10-01,75.69
2018-10-02,75.7
2018-10-03,75.93
2018-10-04,74.56
2018-10-05,73.62
2018-10-08,72.79
2018-10-09,73.05
2018-10-10,69.51
2018-10-11,68.63
2018-10-12,70.83
2018-10-15,69.67
2018-10-16,71.77
2018-10-17,71.44
2018-10-18,70.04
2018-10-19,70.01
2018-10-22,70.59
2018-10-23,70.32
2018-10-24,67.17
2018-10-25,69.48
2018-10-26,68.09
2018-10-29,66.94
2018-10-30,67.69
2018-10-31,69.3
2018-11-01,70.11
2018-11-02,68.74
2018-11-05,68.67
2018-11-06,69.1
2018-11-07,71.13
2018-11-08,71.07
2018-11-09,69.84
2018-11-12,67.38
2018-11-13,67.46
2018-11-14,66.65
2018-11-15,68.32
2018-11-16,68.21
2018-11-19,65.61
2018-11-20,64.2
2018-11-21,64.67
2018-11-23,64.08
2018-11-26,65.53
2018-11-27,65.66
2018-11-28,67.96
2018-11-29,67.3
2018-11-30,67.94
2018-12-03,69.44
2018-12-04,66.81
2018-12-06,66.96
2018-12-07,64.6
2018-12-10,65.49
2018-12-11,65.57
2018-12-12,66.08
2018-12-13,66.19
2018-12-14,64.57
2018-12-17,63.2
2018-12-18,63.7
2018-12-19,62.44
2018-12-20,61.32
2018-12-21,59.2
2018-12-24,57.62
2018-12-26,61.1
2018-12-27,61.54
2018-12-28,61.4
2018-12-31,61.98
