Dt,Close
2017-12-27,56.99
2017-12-28,56.9
2017-12-29,56.89
2018-01-02,56.54
2018-01-03,56.52
2018-01-04,56.68
2018-01-05,56.93
2018-01-08,57.07
2018-01-09,56.99
2018-01-10,56.71
2018-01-11,56.63
2018-01-12,56.65
2018-01-16,56.91
2018-01-17,57.56
2018-01-18,57.39
2018-01-19,58.03
2018-01-22,58.47
2018-01-23,58.28
2018-01-24,58.4
2018-01-25,58.43
2018-01-26,58.71
2018-01-29,58.48
2018-01-30,58.09
2018-01-31,57.82
2018-02-01,57.57
2018-02-02,56.47
2018-02-05,54.42
2018-02-06,55.02
2018-02-07,54.78
2018-02-08,53.6
2018-02-09,53.71
2018-02-12,54.26
2018-02-13,54.51
2018-02-14,54.48
2018-02-15,55.38
2018-02-16,55.6
2018-02-20,54.34
2018-02-21,53.69
2018-02-22,53.83
2018-02-23,54.35
2018-02-26,54.69
2018-02-27,53.97
2018-02-28,53.41
2018-03-01,53.29
2018-03-02,53.74
2018-03-05,54.21
2018-03-06,54.25
2018-03-07,53.76
2018-03-08,54.25
2018-03-09,54.6
2018-03-12,54.5
2018-03-13,54.46
2018-03-14,53.91
2018-03-15,53.53
2018-03-16,53.25
2018-03-19,52.73
2018-03-20,52.58
2018-03-21,51.93
2018-03-22,51.5
2018-03-23,50.86
2018-03-26,51.59
2018-03-27,51.56
2018-03-28,52.27
2018-03-29,52.63
2018-04-02,51.34
2018-04-03,52.02
2018-04-04,52.83
2018-04-05,52.96
2018-04-06,52.42
2018-04-09,52.39
2018-04-10,52.51
2018-04-11,52.41
2018-04-12,52.33
2018-04-13,52.59
2018-04-16,53.16
2018-04-17,53.28
2018-04-18,52.88
2018-04-19,51.35
2018-04-20,50.49
2018-04-23,50.43
2018-04-24,50.11
2018-04-25,50.2
2018-04-26,50.5
2018-04-27,50.77
2018-04-30,50.45
2018-05-01,50.01
2018-05-02,49.03
2018-05-03,48.98
2018-05-04,49.69
2018-05-07,49.38
2018-05-08,49.18
2018-05-09,49.25
2018-05-10,49.54
2018-05-11,49.54
2018-05-14,49.52
2018-05-15,49.33
2018-05-16,49.68
2018-05-17,49.85
2018-05-18,49.54
2018-05-21,49.75
2018-05-22,49.66
2018-05-23,49.84
2018-05-24,49.8
2018-05-25,49.88
2018-05-29,49.77
2018-05-30,50.47
2018-05-31,49.66
2018-06-01,49.66
2018-06-04,50.07
2018-06-05,49.84
2018-06-06,49.9
2018-06-07,50.21
2018-06-08,50.83
2018-06-11,51.25
2018-06-12,51.35
2018-06-13,51.19
2018-06-14,51.28
2018-06-15,51.54
2018-06-18,50.79
2018-06-19,51.06
2018-06-20,51.11
2018-06-21,51.21
2018-06-22,51.63
2018-06-25,51.89
2018-06-26,51.67
2018-06-27,51.56
2018-06-28,51.56
2018-06-29,51.53
2018-07-02,51.23
2018-07-03,51.35
2018-07-05,52.06
2018-07-06,52.22
2018-07-09,52.02
2018-07-10,52.64
2018-07-11,52.47
2018-07-12,52.4
2018-07-13,52.74
2018-07-16,52.49
2018-07-17,52.94
2018-07-18,52.51
2018-07-19,52.54
2018-07-20,52.86
2018-07-23,52.53
2018-07-24,52.63
2018-07-25,53.03
2018-07-26,53.31
2018-07-27,53.38
2018-07-30,53.32
2018-07-31,53.57
2018-08-01,53.12
2018-08-02,53.66
2018-08-03,54.29
2018-08-06,54.34
2018-08-07,54.01
2018-08-08,53.6
2018-08-09,53.44
2018-08-10,53.24
2018-08-13,53.24
2018-08-14,53.61
2018-08-15,53.83
2018-08-16,54.6
2018-08-17,55.02
2018-08-20,54.99
2018-08-21,54.6
2018-08-22,54.26
2018-08-23,54.13
2018-08-24,54.06
2018-08-27,54.09
2018-08-28,53.91
2018-08-29,53.97
2018-08-30,53.8
2018-08-31,53.78
2018-09-04,53.71
2018-09-05,54.33
2018-09-06,54.48
2018-09-07,54.37
2018-09-10,54.56
2018-09-11,54.36
2018-09-12,54.99
2018-09-13,54.91
2018-09-14,54.76
2018-09-17,54.96
2018-09-18,54.73
2018-09-19,54.63
2018-09-20,55.32
2018-09-21,55.02
2018-09-24,54.18
2018-09-25,53.86
2018-09-26,53.92
2018-09-27,53.85
2018-09-28,53.93
2018-10-01,53.89
2018-10-02,54.2
2018-10-03,53.62
2018-10-04,53.49
2018-10-05,53.44
2018-10-08,54.18
2018-10-09,54.06
2018-10-10,53.41
2018-10-11,52.09
2018-10-12,52.38
2018-10-15,52.7
2018-10-16,53.29
2018-10-17,53.54
2018-10-18,53.47
2018-10-19,54.69
2018-10-22,54.28
2018-10-23,54.52
2018-10-24,54.75
2018-10-25,54.88
2018-10-26,53.83
2018-10-29,54.45
2018-10-30,55.53
2018-10-31,55.01
2018-11-01,55.4
2018-11-02,55.11
2018-11-05,55.8
2018-11-06,56.14
2018-11-07,56.46
2018-11-08,56.49
2018-11-09,56.82
2018-11-12,56.52
2018-11-13,56.39
2018-11-14,56.01
2018-11-15,55.92
2018-11-16,56.06
2018-11-19,55.97
2018-11-20,55.04
2018-11-21,54.6
2018-11-23,54.79
2018-11-26,54.86
2018-11-27,55.35
2018-11-28,55.81
2018-11-29,55.9
2018-11-30,56.26
2018-12-03,56.31
2018-12-04,55.36
2018-12-06,55.42
2018-12-07,54.72
2018-12-10,54.72
2018-12-11,55.17
2018-12-12,55.1
2018-12-13,55.44
2018-12-14,54.5
2018-12-17,53.24
2018-12-18,52.61
2018-12-19,52.1
2018-12-20,51.17
2018-12-21,50.18
2018-12-24,48.73
2018-12-26,50.09
2018-12-27,50.57
2018-12-28,50.57
2018-12-31,50.78
