Dt,Close
2017-12-27,32.72
2017-12-28,32.91
2017-12-29,32.94
2018-01-02,32.75
2018-01-03,32.76
2018-01-04,32.2
2018-01-05,32.27
2018-01-08,32.49
2018-01-09,32.12
2018-01-10,31.62
2018-01-11,31.42
2018-01-12,31.19
2018-01-16,31.34
2018-01-17,31.52
2018-01-18,31.22
2018-01-19,31.44
2018-01-22,31.74
2018-01-23,32.23
2018-01-24,32.14
2018-01-25,32.07
2018-01-26,32.16
2018-01-29,31.79
2018-01-30,31.66
2018-01-31,32.31
2018-02-01,31.72
2018-02-02,31.36
2018-02-05,30.55
2018-02-06,30.49
2018-02-07,30.35
2018-02-08,29.4
2018-02-09,30.09
2018-02-12,30.17
2018-02-13,30.39
2018-02-14,30.2
2018-02-15,30.48
2018-02-16,30.68
2018-02-20,30.37
2018-02-21,29.81
2018-02-22,30.15
2018-02-23,30.7
2018-02-26,30.81
2018-02-27,30.15
2018-02-28,30.11
2018-03-01,29.96
2018-03-02,29.86
2018-03-05,30.28
2018-03-06,30.4
2018-03-07,30.53
2018-03-08,30.77
2018-03-09,30.97
2018-03-12,31.12
2018-03-13,31.22
2018-03-14,31.28
2018-03-15,31.28
2018-03-16,31.26
2018-03-19,30.95
2018-03-20,30.94
2018-03-21,30.66
2018-03-22,30.55
2018-03-23,30.07
2018-03-26,30.48
2018-03-27,30.53
2018-03-28,31.09
2018-03-29,31.08
2018-04-02,30.7
2018-04-03,30.81
2018-04-04,31.17
2018-04-05,31.2
2018-04-06,30.88
2018-04-09,30.87
2018-04-10,30.66
2018-04-11,30.74
2018-04-12,30.38
2018-04-13,30.54
2018-04-16,30.68
2018-04-17,31.09
2018-04-18,31.01
2018-04-19,30.49
2018-04-20,30.22
2018-04-23,30.28
2018-04-24,30.31
2018-04-25,30.21
2018-04-26,30.6
2018-04-27,31.01
2018-04-30,30.89
2018-05-01,31.11
2018-05-02,30.97
2018-05-03,30.96
2018-05-04,31.31
2018-05-07,31.37
2018-05-08,31.15
2018-05-09,31.39
2018-05-10,31.68
2018-05-11,31.53
2018-05-14,31.31
2018-05-15,30.78
2018-05-16,30.7
2018-05-17,30.54
2018-05-18,30.56
2018-05-21,30.87
2018-05-22,30.91
2018-05-23,31.16
2018-05-24,31.04
2018-05-25,31.19
2018-05-29,31.27
2018-05-30,31.68
2018-05-31,31.58
2018-06-01,31.71
2018-06-04,32.02
2018-06-05,31.86
2018-06-06,31.95
2018-06-07,31.95
2018-06-08,32.06
2018-06-11,32.05
2018-06-12,32.23
2018-06-13,31.51
2018-06-14,31.81
2018-06-15,31.49
2018-06-18,31.46
2018-06-19,31.5
2018-06-20,31.84
2018-06-21,32.03
2018-06-22,32.31
2018-06-25,32.23
2018-06-26,32.4
2018-06-27,32.31
2018-06-28,32.63
2018-06-29,32.71
2018-07-02,32.52
2018-07-03,32.71
2018-07-05,33.14
2018-07-06,33.28
2018-07-09,32.97
2018-07-10,33.13
2018-07-11,33.03
2018-07-12,33.11
2018-07-13,33.0
2018-07-16,32.82
2018-07-17,32.6
2018-07-18,32.48
2018-07-19,32.79
2018-07-20,32.5
2018-07-23,32.41
2018-07-24,32.32
2018-07-25,32.64
2018-07-26,32.75
2018-07-27,32.45
2018-07-30,32.42
2018-07-31,33.05
2018-08-01,33.27
2018-08-02,33.11
2018-08-03,33.54
2018-08-06,33.47
2018-08-07,33.4
2018-08-08,33.19
2018-08-09,33.25
2018-08-10,32.93
2018-08-13,32.92
2018-08-14,33.05
2018-08-15,33.34
2018-08-16,33.6
2018-08-17,33.92
2018-08-20,33.96
2018-08-21,33.65
2018-08-22,33.44
2018-08-23,33.36
2018-08-24,33.59
2018-08-27,33.54
2018-08-28,33.95
2018-08-29,33.9
2018-08-30,33.72
2018-08-31,33.85
2018-09-04,33.55
2018-09-05,33.76
2018-09-06,33.87
2018-09-07,33.44
2018-09-10,33.62
2018-09-11,33.63
2018-09-12,33.66
2018-09-13,33.87
2018-09-14,33.58
2018-09-17,33.77
2018-09-18,33.57
2018-09-19,33.25
2018-09-20,33.5
2018-09-21,33.15
2018-09-24,32.5
2018-09-25,32.47
2018-09-26,32.11
2018-09-27,32.21
2018-09-28,32.61
2018-10-01,32.36
2018-10-02,32.26
2018-10-03,31.89
2018-10-04,31.74
2018-10-05,31.75
2018-10-08,32.16
2018-10-09,32.27
2018-10-10,31.76
2018-10-11,30.83
2018-10-12,30.81
2018-10-15,31.0
2018-10-16,31.58
