Dt,Close
2017-12-27,52.36
2017-12-28,52.65
2017-12-29,52.68
2018-01-02,52.19
2018-01-03,51.78
2018-01-04,51.35
2018-01-05,51.33
2018-01-08,51.81
2018-01-09,51.3
2018-01-10,50.74
2018-01-11,50.55
2018-01-12,50.26
2018-01-16,50.15
2018-01-17,50.46
2018-01-18,50.14
2018-01-19,49.99
2018-01-22,50.06
2018-01-23,50.54
2018-01-24,50.23
2018-01-25,51.01
2018-01-26,51.04
2018-01-29,50.39
2018-01-30,50.48
2018-01-31,51.04
2018-02-01,50.24
2018-02-02,49.88
2018-02-05,49.06
2018-02-06,48.33
2018-02-07,48.1
2018-02-08,47.56
2018-02-09,48.56
2018-02-12,48.93
2018-02-13,49.15
2018-02-14,48.6
2018-02-15,49.68
2018-02-16,50.12
2018-02-20,49.47
2018-02-21,48.82
2018-02-22,49.07
2018-02-23,50.35
2018-02-26,50.2
2018-02-27,49.4
2018-02-28,49.06
2018-03-01,49.07
2018-03-02,48.94
2018-03-05,49.94
2018-03-06,49.27
2018-03-07,48.9
2018-03-08,49.26
2018-03-09,49.4
2018-03-12,49.61
2018-03-13,49.72
2018-03-14,50.23
2018-03-15,50.2
2018-03-16,50.25
2018-03-19,49.94
2018-03-20,49.71
2018-03-21,49.54
2018-03-22,49.76
2018-03-23,49.06
2018-03-26,49.57
2018-03-27,50.28
2018-03-28,50.26
2018-03-29,50.53
2018-04-02,50.14
2018-04-03,50.31
2018-04-04,50.42
2018-04-05,50.82
2018-04-06,50.42
2018-04-09,50.52
2018-04-10,50.13
2018-04-11,50.06
2018-04-12,49.4
2018-04-13,49.79
2018-04-16,50.47
2018-04-17,50.98
2018-04-18,50.79
2018-04-19,50.76
2018-04-20,50.3
2018-04-23,50.33
2018-04-24,50.67
2018-04-25,50.68
2018-04-26,51.19
2018-04-27,51.71
2018-04-30,51.56
2018-05-01,51.4
2018-05-02,51.35
2018-05-03,51.28
2018-05-04,51.51
2018-05-07,51.24
2018-05-08,49.96
2018-05-09,49.61
2018-05-10,50.31
2018-05-11,50.38
2018-05-14,50.19
2018-05-15,49.77
2018-05-16,49.38
2018-05-17,48.98
2018-05-18,48.99
2018-05-21,49.24
2018-05-22,49.42
2018-05-23,49.87
2018-05-24,50.28
2018-05-25,50.5
2018-05-29,50.5
2018-05-30,50.91
2018-05-31,50.99
2018-06-01,50.21
2018-06-04,49.81
2018-06-05,49.55
2018-06-06,48.37
2018-06-07,48.71
2018-06-08,48.69
2018-06-11,48.59
2018-06-12,49.15
2018-06-13,49.02
2018-06-14,49.63
2018-06-15,49.54
2018-06-18,49.7
2018-06-19,50.19
2018-06-20,50.23
2018-06-21,50.4
2018-06-22,50.75
2018-06-25,51.59
2018-06-26,51.65
2018-06-27,51.9
2018-06-28,51.88
2018-06-29,51.96
2018-07-02,52.33
2018-07-03,52.48
2018-07-05,52.76
2018-07-06,53.17
2018-07-09,51.53
2018-07-10,52.02
2018-07-11,52.49
2018-07-12,52.53
2018-07-13,52.54
2018-07-16,52.49
2018-07-17,52.45
2018-07-18,52.18
2018-07-19,52.66
2018-07-20,52.29
2018-07-23,51.92
2018-07-24,52.1
2018-07-25,52.25
2018-07-26,52.81
2018-07-27,52.64
2018-07-30,52.32
2018-07-31,52.79
2018-08-01,52.45
2018-08-02,52.71
2018-08-03,53.3
2018-08-06,53.34
2018-08-07,53.26
2018-08-08,52.98
2018-08-09,53.22
2018-08-10,52.99
2018-08-13,53.06
2018-08-14,53.17
2018-08-15,53.66
2018-08-16,54.24
2018-08-17,54.52
2018-08-20,54.33
2018-08-21,53.94
2018-08-22,53.54
2018-08-23,53.5
2018-08-24,53.73
2018-08-27,53.4
2018-08-28,53.29
2018-08-29,53.68
2018-08-30,53.7
2018-08-31,53.47
2018-09-04,53.71
2018-09-05,54.46
2018-09-06,54.77
2018-09-07,54.1
2018-09-10,54.37
2018-09-11,54.23
2018-09-12,54.18
2018-09-13,54.59
2018-09-14,54.3
2018-09-17,54.48
2018-09-18,54.38
2018-09-19,53.2
2018-09-20,53.31
2018-09-21,53.06
2018-09-24,52.59
2018-09-25,51.87
2018-09-26,51.36
2018-09-27,51.89
2018-09-28,52.65
2018-10-01,52.47
2018-10-02,53.18
2018-10-03,52.54
2018-10-04,52.82
2018-10-05,53.63
2018-10-08,54.08
2018-10-09,54.3
2018-10-10,54.0
2018-10-11,53.01
2018-10-12,52.95
2018-10-15,53.2
2018-10-16,53.75
2018-10-17,53.65
2018-10-18,53.73
2018-10-19,54.57
2018-10-22,54.22
2018-10-23,53.92
2018-10-24,55.23
2018-10-25,54.37
2018-10-26,53.37
2018-10-29,54.12
2018-10-30,54.33
2018-10-31,53.69
2018-11-01,53.45
2018-11-02,53.15
2018-11-05,53.9
2018-11-06,54.26
2018-11-07,54.88
2018-11-08,54.79
2018-11-09,54.87
2018-11-12,54.84
2018-11-13,55.07
2018-11-14,54.5
2018-11-15,54.05
2018-11-16,54.88
2018-11-19,55.12
2018-11-20,54.89
2018-11-21,54.08
2018-11-23,54.11
2018-11-26,54.43
2018-11-27,54.84
2018-11-28,54.8
2018-11-29,54.78
2018-11-30,55.59
2018-12-03,56.15
2018-12-04,56.19
2018-12-06,56.25
2018-12-07,56.46
2018-12-10,56.57
2018-12-11,56.8
2018-12-12,56.44
2018-12-13,56.93
2018-12-14,56.82
2018-12-17,54.99
2018-12-18,54.62
2018-12-19,54.53
2018-12-20,54.5
2018-12-21,53.81
2018-12-24,51.56
2018-12-26,52.26
2018-12-27,52.7
2018-12-28,52.83
2018-12-31,52.92
