Dt,Close
2017-12-27,83.07
2017-12-28,83.19
2017-12-29,82.68
2018-01-02,83.61
2018-01-03,84.41
2018-01-04,84.53
2018-01-05,85.25
2018-01-08,84.94
2018-01-09,85.94
2018-01-10,85.79
2018-01-11,86.16
2018-01-12,86.82
2018-01-16,87.25
2018-01-17,88.09
2018-01-18,88.11
2018-01-19,88.44
2018-01-22,89.02
2018-01-23,88.59
2018-01-24,88.85
2018-01-25,89.61
2018-01-26,91.54
2018-01-29,91.29
2018-01-30,89.37
2018-01-31,88.1
2018-02-01,88.13
2018-02-02,86.89
2018-02-05,83.04
2018-02-06,83.96
2018-02-07,83.86
2018-02-08,80.95
2018-02-09,82.1
2018-02-12,82.87
2018-02-13,82.93
2018-02-14,83.87
2018-02-15,84.8
2018-02-16,85.41
2018-02-20,84.47
2018-02-21,84.12
2018-02-22,83.99
2018-02-23,85.33
2018-02-26,86.41
2018-02-27,85.51
2018-02-28,84.14
2018-03-01,82.8
2018-03-02,83.64
2018-03-05,84.4
2018-03-06,84.28
2018-03-07,84.71
2018-03-08,85.28
2018-03-09,86.51
2018-03-12,86.14
2018-03-13,86.25
2018-03-14,85.83
2018-03-15,85.69
2018-03-16,85.39
2018-03-19,84.01
2018-03-20,84.13
2018-03-21,83.77
2018-03-22,81.36
2018-03-23,79.67
2018-03-26,81.32
2018-03-27,80.36
2018-03-28,80.79
2018-03-29,81.4
2018-04-02,79.55
2018-04-03,80.76
2018-04-04,81.91
2018-04-05,81.85
2018-04-06,79.88
2018-04-09,80.67
2018-04-10,82.03
2018-04-11,81.36
2018-04-12,81.91
2018-04-13,81.87
2018-04-16,82.52
2018-04-17,83.16
2018-04-18,83.23
2018-04-19,82.53
2018-04-20,82.09
2018-04-23,82.41
2018-04-24,81.79
2018-04-25,82.16
2018-04-26,83.2
2018-04-27,83.54
2018-04-30,82.26
2018-05-01,82.22
2018-05-02,81.09
2018-05-03,80.36
2018-05-04,81.0
2018-05-07,80.88
2018-05-08,80.27
2018-05-09,80.73
2018-05-10,81.81
2018-05-11,83.03
2018-05-14,83.58
2018-05-15,82.5
2018-05-16,82.96
2018-05-17,82.99
2018-05-18,83.2
2018-05-21,83.28
2018-05-22,83.12
2018-05-23,83.39
2018-05-24,83.06
2018-05-25,82.94
2018-05-29,82.09
2018-05-30,83.32
2018-05-31,82.41
2018-06-01,83.36
2018-06-04,83.67
2018-06-05,83.5
2018-06-06,84.44
2018-06-07,84.55
2018-06-08,85.04
2018-06-11,85.2
2018-06-12,85.15
2018-06-13,85.17
2018-06-14,85.61
2018-06-15,85.46
2018-06-18,84.64
2018-06-19,84.86
2018-06-20,85.04
2018-06-21,84.55
2018-06-22,84.93
2018-06-25,84.15
2018-06-26,83.89
2018-06-27,83.18
2018-06-28,83.29
2018-06-29,83.46
2018-07-02,83.72
2018-07-03,83.92
2018-07-05,84.79
2018-07-06,86.01
2018-07-09,86.64
2018-07-10,86.97
2018-07-11,86.28
2018-07-12,87.24
2018-07-13,87.4
2018-07-16,86.87
2018-07-17,87.35
2018-07-18,87.42
2018-07-19,86.93
2018-07-20,86.76
2018-07-23,86.94
2018-07-24,87.73
2018-07-25,88.85
2018-07-26,88.6
2018-07-27,87.96
2018-07-30,88.01
2018-07-31,88.93
2018-08-01,88.95
2018-08-02,89.28
2018-08-03,89.81
2018-08-06,89.97
2018-08-07,89.98
2018-08-08,90.12
2018-08-09,90.02
2018-08-10,89.63
2018-08-13,89.66
2018-08-14,90.08
2018-08-15,89.93
2018-08-16,90.81
2018-08-17,91.09
2018-08-20,91.39
2018-08-21,91.39
2018-08-22,91.48
2018-08-23,91.45
2018-08-24,91.89
2018-08-27,92.22
2018-08-28,92.27
2018-08-29,92.87
2018-08-30,92.8
2018-08-31,92.78
2018-09-04,92.04
2018-09-05,92.41
2018-09-06,92.41
2018-09-07,92.55
2018-09-10,92.31
2018-09-11,92.23
2018-09-12,92.69
2018-09-13,93.84
2018-09-14,93.53
2018-09-17,93.19
2018-09-18,93.73
2018-09-19,93.6
2018-09-20,94.51
2018-09-21,94.27
2018-09-24,94.46
2018-09-25,94.17
2018-09-26,94.38
2018-09-27,94.86
2018-09-28,95.15
2018-10-01,95.62
2018-10-02,95.51
2018-10-03,95.33
2018-10-04,94.4
2018-10-05,94.29
2018-10-08,94.25
2018-10-09,94.41
2018-10-10,92.18
2018-10-11,89.69
2018-10-12,91.07
2018-10-15,90.44
2018-10-16,92.92
2018-10-17,93.41
2018-10-18,92.35
2018-10-19,91.51
2018-10-22,90.76
2018-10-23,90.27
2018-10-24,87.29
2018-10-25,88.42
2018-10-26,87.42
2018-10-29,87.64
2018-10-30,88.58
2018-10-31,88.7
2018-11-01,89.82
2018-11-02,89.26
2018-11-05,90.05
2018-11-06,90.51
2018-11-07,93.17
2018-11-08,93.22
2018-11-09,92.95
2018-11-12,91.69
2018-11-13,91.05
2018-11-14,90.32
2018-11-15,91.12
2018-11-16,92.04
2018-11-19,90.87
2018-11-20,90.02
2018-11-21,89.51
2018-11-23,89.64
2018-11-26,90.51
2018-11-27,91.45
2018-11-28,93.65
2018-11-29,93.96
2018-11-30,95.87
2018-12-03,95.41
2018-12-04,93.28
2018-12-06,92.93
2018-12-07,90.56
2018-12-10,90.91
2018-12-11,91.19
2018-12-12,91.97
2018-12-13,92.06
2018-12-14,88.96
2018-12-17,87.19
2018-12-18,86.43
2018-12-19,85.3
2018-12-20,84.1
2018-12-21,82.68
2018-12-24,80.7
2018-12-26,84.22
2018-12-27,85.15
2018-12-28,85.25
2018-12-31,86.51
