Dt,Close
2017-12-27,99.0
2017-12-28,99.27
2017-12-29,98.69
2018-01-02,100.19
2018-01-03,100.65
2018-01-04,100.98
2018-01-05,101.78
2018-01-08,101.9
2018-01-09,102.1
2018-01-10,102.03
2018-01-11,103.69
2018-01-12,105.03
2018-01-16,104.28
2018-01-17,104.78
2018-01-18,104.69
2018-01-19,105.6
2018-01-22,106.77
2018-01-23,107.67
2018-01-24,108.13
2018-01-25,107.94
2018-01-26,109.0
2018-01-29,108.7
2018-01-30,108.16
2018-01-31,107.81
2018-02-01,106.61
2018-02-02,105.59
2018-02-05,102.03
2018-02-06,104.64
2018-02-07,104.32
2018-02-08,100.16
2018-02-09,100.83
2018-02-12,102.2
2018-02-13,102.73
2018-02-14,104.37
2018-02-15,105.3
2018-02-16,104.79
2018-02-20,104.47
2018-02-21,104.32
2018-02-22,104.45
2018-02-23,105.91
2018-02-26,106.8
2018-02-27,104.54
2018-02-28,104.07
2018-03-01,102.95
2018-03-02,103.05
2018-03-05,104.28
2018-03-06,105.0
2018-03-07,104.29
2018-03-08,104.62
2018-03-09,106.24
2018-03-12,106.59
2018-03-13,105.84
2018-03-14,105.71
2018-03-15,105.6
2018-03-16,105.18
2018-03-19,103.87
2018-03-20,104.49
2018-03-21,104.41
2018-03-22,102.19
2018-03-23,100.18
2018-03-26,103.14
2018-03-27,101.12
2018-03-28,99.89
2018-03-29,101.29
2018-04-02,98.43
2018-04-03,99.68
2018-04-04,101.51
2018-04-05,102.87
2018-04-06,100.68
2018-04-09,100.44
2018-04-10,101.66
2018-04-11,101.35
2018-04-12,101.79
2018-04-13,101.22
2018-04-16,101.98
2018-04-17,103.88
2018-04-18,104.37
2018-04-19,104.04
2018-04-20,102.98
2018-04-23,103.2
2018-04-24,101.57
2018-04-25,101.99
2018-04-26,103.64
2018-04-27,104.11
2018-04-30,103.7
2018-05-01,103.84
2018-05-02,103.13
2018-05-03,102.67
2018-05-04,104.02
2018-05-07,104.37
2018-05-08,103.93
2018-05-09,104.29
2018-05-10,104.67
2018-05-11,104.89
2018-05-14,105.09
2018-05-15,104.48
2018-05-16,105.35
2018-05-17,105.0
2018-05-18,104.87
2018-05-21,105.45
2018-05-22,104.98
2018-05-23,105.74
2018-05-24,105.97
2018-05-25,106.13
2018-05-29,105.31
2018-05-30,106.27
2018-05-31,105.76
2018-06-01,106.54
2018-06-04,107.73
2018-06-05,108.36
2018-06-06,109.37
2018-06-07,109.69
2018-06-08,109.92
2018-06-11,110.36
2018-06-12,110.89
2018-06-13,111.06
2018-06-14,112.22
2018-06-15,112.11
2018-06-18,111.92
2018-06-19,111.78
2018-06-20,112.31
2018-06-21,111.51
2018-06-22,111.32
2018-06-25,108.9
2018-06-26,109.68
2018-06-27,108.26
2018-06-28,109.11
2018-06-29,109.3
2018-07-02,109.45
2018-07-03,108.9
2018-07-05,109.44
2018-07-06,110.3
2018-07-09,111.62
2018-07-10,111.86
2018-07-11,111.6
2018-07-12,112.34
2018-07-13,112.59
2018-07-16,112.87
2018-07-17,112.98
2018-07-18,112.91
2018-07-19,112.65
2018-07-20,112.15
2018-07-23,112.03
2018-07-24,111.7
2018-07-25,112.52
2018-07-26,111.93
2018-07-27,111.64
2018-07-30,110.75
2018-07-31,111.27
2018-08-01,110.72
2018-08-02,111.48
2018-08-03,111.86
2018-08-06,112.61
2018-08-07,113.13
2018-08-08,113.25
2018-08-09,113.67
2018-08-10,112.72
2018-08-13,112.15
2018-08-14,113.24
2018-08-15,111.86
2018-08-16,112.41
2018-08-17,112.51
2018-08-20,113.31
2018-08-21,114.21
2018-08-22,114.33
2018-08-23,114.22
2018-08-24,114.89
