Id,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X35,X36,X37,X38,X39,X40,X41,X42,X43,X44,X45,X46,X47,X48,X49,X50,X51,X52,X53,X54,X55,X56,X57,X58,X59,X60,X61,X62,X63,X64,Bankrupt
311,0.24181,0.22257,0.69576,4.1391,291.09,0,0.30179,3.493,1.0903,0.77743,0.33135,1.3616,0.30126,0.30179,247.33,1.4758,4.493,0.30179,0.2768,32.17,1.1184,0.33135,0.22178,0.81408,0.76193,1.2063,11.208,8.423,3.5087,0.13646,0.27686,106.48,3.4278,3.4135,0.33056,1.0903,?,0.77743,0.30319,0.36412,0.020722,0.30391,280.1,247.93,2.5163,3.7056,46.167,0.30468,0.27945,4.1219,0.22164,0.29174,9.4118,9.4118,2244.8,0.30319,0.31103,0.7234,0,11.346,1.4722,74.199,4.9192,13.199,0
592,0.22238,0.49951,0.18799,2.0738,34.422,0.67774,0.27241,0.95653,1.3843,0.47779,0.27241,1.556,0.26682,0.27241,622.43,0.58641,2.002,0.27241,0.24814,31.031999999999996,1.0414,0.30741,0.20257,0.83749,0.47779,0.48626,3.8763,0.29514,4.6125,0.37824,0.24814,80.578,4.5298,0.61542,0.30741,1.1438,0.83138,0.80223,0.28002,0.60012,0.050081,0.28002,85.78,54.748000000000005,2.3827,1.5407,42.957,0.2869,0.26134,0.72684,0.17507,0.22076,0.75014,1.2595,7702.7,0.27760999999999997,0.46544,0.72239,0.67903,11.762,6.6669,58.208,6.2706,1.7235,0
2051,0.18159,0,1,?,41.034,-0.50524,0.18159,?,5.2157,1,0.21347,?,0.035938,0.18159,0,?,?,0.18159,0.034816,29.276999999999997,1.4162,0.10697,0.034816,-0.5817,1,?,3.3545,?,1.7183,-0.0034479999999999997,0.034816,0,?,?,0.10697,5.2157,?,1,0.020509,?,0,0.020509,68.723,39.446,0.43405,?,29.89,0.10111,0.019386,?,0,0,?,?,52.278,0.020505000000000002,0.18159,0.96588,0,12.467,9.2532,0.0,?,?,0
3230,0.030523,0.25841,0.053955,1.3421,2.9713,0.085922,0.045425,2.3036,1.0247,0.59528,0.045425,0.28805,0.078322,0.045425,1149.5,0.31752,3.8698,0.045425,0.043361000000000004,15.964,1.0022,0.046165,0.029136000000000002,0.12063,0.59528,0.25985,0.45155,0.068441,4.4766,0.19582,0.043361000000000004,56.301,6.483,0.17865,0.046165,1.0815,1.6466,0.69599,0.044067,0.33778,0.10262,0.044067,55.184,39.22,0.66616,1.0516,16.358,0.00954,0.009106,0.81906,0.1577,0.15425,0.7551,0.88285,1616.6,0.024082,0.051274,0.9759200000000001,0.16918,22.864,9.3064,54.945,6.643,1.3289,0
3377,0.005688,0.48642,-0.11828,0.75677,-53.123,-0.13066,0.005688,1.0558,2.2043,0.51358,0.051148,0.011696,0.0073420000000000004,0.005688,10970,0.033273,2.0558,0.005688,0.0025800000000000003,26.008000000000003,1.2736,0,0.0025800000000000003,-0.084801,0.49009,0.033273,0,-0.18715,3.5323,0.21888000000000002,0.005152,93.179,3.9172,3.9161,0.002691,2.2043,?,0.51358,0.001221,0.016744,1.5446,0.0,59.588,33.58,0.036211,0.43377,30.097,-0.010497,-0.004762,0.75655,0.48628,0.25528,0.81263,0.81263,-402.91,0.13584000000000002,0.011075,0.8849799999999999,0,14.034,10.87,80.521,4.533,3.4878,0
1030,0.043999,0.60826,0.059137,1.1107,-76.773,-0.000246,0.043999,0.64405,2.0135,0.39174,0.062995,0.082353,0.07212,0.043999,1528.9,0.23874,1.644,0.043999,0.021852,70.337,1.5108,0,0.021852,0.058345,0.23395,0.23874,0,0.14545,4.8479,0.29353,0.047911,117.53,3.1057,2.7279,0.024982,2.0135,6.2774,0.42446,0.012407,0.038606,0.20032,0.0,103.83,33.494,0.1134,0.38444,85.353,-0.10122,-0.050268,0.97559,0.53427,0.32199,0.96348,1.044,4166.3,0.17593,0.11232,0.8345299999999999,0.083524,5.1893,10.897,96.85,3.7687,4.9522,0
493,-0.001872,0.87127,0.058085,1.2711,-26.326,-0.1583,-0.001872,0.14775,0.64396,0.12873,-0.000157,-0.008734,-0.001819,-0.001872,-271440,-0.001345,1.1477,-0.001872,-0.0029059999999999997,52.597,1.3669,0,-0.0029059999999999997,-0.069118,0.097506,-0.001345,0,0.079829,4.5267,1.3459,-0.017333,144.9,2.5189,0.61954,0.000665,0.64396,0.27764,0.77555,0.001033,0.043317,41.487,0.0,149.12,96.527,-0.020169,0.83802,62.748,-0.0007,-0.0010869999999999999,0.31262,0.21429,0.39699,0.17692,1.0659,1953.3,0.16177,-0.014539,0.8408899999999999,5.0246,6.9396,3.7813,121.46,3.0051,0.88503,0
3246,0.21342,0.59578,0.33372,1.7419,-14.969,0,0.21342,0.67846,1.922,0.40422,0.26599,0.47447,0.1302,0.21342,869.02,0.42002,1.6785,0.21342,0.11104000000000001,74.051,0.96998,0.23416,0.11104000000000001,0.71385,0.21342,0.42002,4.4542,1.5416,3.8135,0.29786999999999997,0.11839000000000001,96.51,3.782,2.8553,0.22087,1.922,3.491,0.51696,0.11492000000000001,0.080595,0.073286,0.12183,141.91,67.859,0.54731,0.87502,83.666,0.19734,0.10267000000000001,1.3151,0.4498,0.26441,1.8672,2.388,2172.1,0.11492000000000001,0.52797,0.89223,0.27892,4.929,5.3788,85.419,4.273,8.8785,0
959,0.008204,0.5188,0.23912,1.7443,24.141,0.034543,0.00542,0.72066,1.019,0.37388,0.00542,0.01687,0.043174000000000004,0.00542,3059,0.11932,1.9275,0.00542,0.0037799999999999995,37.015,1.1508,0.021957,0.005722,0.040085,0.37388,0.12469,0.15605,0.54394,6.3743,0.29686999999999997,0.0037799999999999995,83.337,4.3798,0.042323,0.021957,1.4654,2.1007,0.57142,0.015314,0.29975,0.21744,0.015314,118.14,81.126,0.056421,1.2917,37.719,-0.034526,-0.02408,1.0801,0.32126,0.22832,0.85046,1.2998,566070.0,0.018658,0.021943,0.98134,0.52836,9.8608,4.4992,81.782,4.4631,3.2615,0
1169,0.24559,0.36465,0.59319,2.7036,77.877,-0.026972,0.30487,1.7423,2.3135,0.63535,0.3049,0.87556,0.146,0.30487,394.05,0.92628,2.7423,0.30487,0.13178,23.651,1.1092,0.30223,0.10615999999999999,0.27404,0.57246,0.76373,10036,10.12,4.2262,0.1421,0.13179000000000002,63.676,5.7322,5.4735,0.31758,2.3135,?,0.63535,0.13727,0.15665,0.036269,0.13064,139.92,116.27,1.6383,2.2731,27.415,0.26933,0.11642000000000001,2.5816,0.3482,0.17445,10.839,10.839,9986.8,0.13727,0.38655,0.8691200000000001,0,15.432,3.1394,54.935,6.6442,39.468,0
